user_id,age,gender,city,device,genre,watch_hours_per_week,rating_given,subscription_type,subscription_months
U001,18,Male,Delhi,Mobile,Action,16,5,Premium,14
U002,22,Female,Mumbai,TV,Drama,9,4,Standard,8
U003,25,Male,Pune,Laptop,Comedy,12,5,Premium,16
U004,30,Female,Bangalore,TV,Documentary,5,3,Basic,6
U005,19,Male,Delhi,Mobile,Action,18,5,Premium,18
U006,27,Female,Mumbai,Mobile,Comedy,7,4,Standard,9
U007,35,Male,Chennai,TV,Drama,6,3,Basic,5
U008,21,Female,Pune,Laptop,Comedy,15,5,Premium,15
U009,29,Male,Bangalore,TV,Action,10,4,Standard,11
U010,24,Female,Delhi,Mobile,Drama,14,5,Premium,13
U011,32,Male,Mumbai,TV,Documentary,4,3,Basic,4
U012,20,Female,Jaipur,Mobile,Comedy,17,5,Premium,17
U013,26,Male,Delhi,Laptop,Action,11,4,Standard,10
U014,28,Female,Pune,TV,Drama,8,4,Standard,9
U015,23,Male,Chandigarh,Mobile,Comedy,16,5,Premium,14
U016,34,Female,Bangalore,TV,Documentary,5,3,Basic,6
U017,21,Male,Delhi,Mobile,Action,19,5,Premium,20
U018,27,Female,Mumbai,Laptop,Comedy,9,4,Standard,8
U019,31,Male,Pune,TV,Drama,7,3,Basic,6
U020,22,Female,Delhi,Mobile,Action,15,5,Premium,15
U021,36,Male,Kolkata,TV,Documentary,4,2,Basic,3
U022,24,Female,Mumbai,Laptop,Drama,13,5,Premium,14
U023,28,Male,Bangalore,TV,Action,9,4,Standard,10
U024,19,Female,Pune,Mobile,Comedy,18,5,Premium,18
U025,33,Male,Delhi,TV,Drama,6,3,Basic,5
U026,21,Female,Jaipur,Mobile,Comedy,16,5,Premium,16
U027,29,Male,Mumbai,Laptop,Action,10,4,Standard,11
U028,35,Female,Bangalore,TV,Documentary,5,3,Basic,6
U029,23,Male,Pune,Mobile,Comedy,17,5,Premium,17
U030,26,Female,Delhi,Laptop,Drama,12,4,Standard,9
